Origem,Status,Criada em,Moderado por,Data de Moderado,Validado por,Data de Validado,Autor,Proposta,Categorias
,Aprovada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste1,""
,Rejeitada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste2,""
,Aprovada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste3,""
,Rejeitada,30/06/15 10:19,"","",adminuser,29/06/15 21:00,ze,test2,""
,Aprovada,30/06/15 10:20,"","",adminuser,29/06/15 21:00,ze,test2,""
,Rejeitada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste0,""
,Rejeitada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste4,""
,Aprovada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste5,""
,Rejeitada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste6,""
,Pendente de Moderacao,06/07/15 14:42,"","","","",ze,teste adadd,""
,Aprovada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste7,""
,Rejeitada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste8,""
,Rejeitada,30/06/15 10:21,"","",adminuser,29/06/15 21:00,ze,teste9<iframe>test</iframe>,""
,Pendente de Moderacao,30/06/15 10:37,"","","","",ze,teste adadd,""
,Pendente de Moderacao,06/07/15 14:42,"","","","",ze,teste adadd,""
,Pendente de Moderacao,06/07/15 14:42,"","","","",ze,teste adadd,""
,Pendente de Moderacao,06/07/15 14:42,"","","","",ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
Discussão,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
Tópico 1,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
Tópico 1,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
Tópico 1,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
Tópico 1,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
Tópico 1,Aprovada,06/07/15 14:42,"","",adminuser,05/07/15 21:00,ze,teste adadd,""
,Rejeitada,06/07/15 14:42,adminuser,07/07/15 11:22,adminuser,06/07/15 21:00,ze,teste adadd,""
,Rejeitada,06/07/15 14:42,adminuser,07/07/15 10:56,adminuser,06/07/15 21:00,ze,teste adadd,""
,Rejeitada,06/07/15 14:42,adminuser,13/07/15 19:18,adminuser,30/07/15 15:25,ze,teste adadd,category
,Pendente de Moderacao,30/07/15 15:21,"","","","",ze,teste nova proposta,""
,Pendente de Moderacao,30/07/15 15:21,"","","","",ze,teste nova proposta,""
,Rejeitada,30/07/15 15:21,ze,30/07/15 15:24,adminuser,30/07/15 15:25,ze,teste nova proposta,category
,Pendente de Moderacao,30/07/15 15:21,"","","","",ze,teste nova proposta,""
,Pendente de Moderacao,30/07/15 15:21,"","","","",ze,teste nova proposta,""
,Pendente de Moderacao,30/07/15 15:21,"","","","",ze,teste nova proposta,""
,Pendente de Moderacao,30/07/15 15:22,"","","","",ze,teste nova proposta,""
,Pendente de Moderacao,30/07/15 15:22,"","","","",ze,teste nova proposta,""
,Pendente de Moderacao,30/07/15 15:22,"","","","",ze,teste nova proposta,""
,Rejeitada,30/07/15 15:21,ze,30/07/15 15:24,adminuser,30/07/15 15:24,ze,teste nova proposta,category
,Rejeitada,30/07/15 15:22,ze,30/07/15 15:24,adminuser,30/07/15 15:24,ze,teste nova proposta,category
,Rejeitada,30/07/15 15:21,ze,30/07/15 15:24,adminuser,30/07/15 15:24,ze,teste nova proposta,category
,Rejeitada,06/07/15 14:42,adminuser,13/07/15 19:18,adminuser,30/07/15 15:24,ze,teste adadd,category
,Rejeitada,30/07/15 15:21,adminuser,30/07/15 15:22,adminuser,30/07/15 15:25,ze,teste nova proposta,category
,Rejeitada,30/07/15 15:22,ze,30/07/15 15:24,adminuser,30/07/15 15:24,ze,teste nova proposta,category
,Rejeitada,30/07/15 15:22,adminuser,30/07/15 15:22,adminuser,30/07/15 15:25,ze,teste nova proposta,category
,Pre Rejeitada,30/07/15 15:22,ze,30/07/15 15:25,"","",ze,teste nova proposta,category
,Pre Rejeitada,30/07/15 15:21,ze,30/07/15 15:25,"","",ze,teste nova proposta,category
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
,Pre Rejeitada,30/07/15 15:22,ze,30/07/15 15:25,"","",ze,teste nova proposta,category
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
,Pre Rejeitada,30/07/15 15:21,ze,30/07/15 15:25,"","",ze,teste nova proposta,category
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
,Pre Rejeitada,30/07/15 15:22,ze,30/07/15 15:25,"","",ze,teste nova proposta,category
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Discussão,Pendente de Moderacao,30/07/15 17:41,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Tópico 1,Pendente de Moderacao,30/07/15 17:44,"","","","",ze,teste nova proposta,""
Discussão,Pre Aprovada,30/07/15 17:41,adminuser,30/07/15 17:44,"","",ze,teste nova proposta,category
Tópico 1,Pre Aprovada,30/07/15 17:44,adminuser,30/07/15 17:44,"","",ze,teste nova proposta,category
